MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.250"", Thicko=0.124"""			Time:	150.17554	Sec	11/9/2011 15:08																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
12.900146	0.038625922	0.0016633	1245.9347																						
12.930176	0.0386989	0.001665304	1247.656																						
12.960205	0.038796522	0.00165909	1250.2394																						
12.990234	0.038885225	0.00167284	1252.661																						
13.020264	0.038975336	0.001689594	1253.0208																						
13.050293	0.039049726	0.001701545	1255.0397																						
13.080322	0.039165415	0.001719958	1259.49																						
13.110352	0.039219387	0.001721125	1263.7023																						
13.140381	0.03936699	0.001721284	1264.2306																						
13.17041	0.039466489	0.00175301	1269.8887																						
13.200439	0.039478689	0.001750071	1266.0054																						
13.230469	0.039542284	0.0017716	1270.4596																						
13.260498	0.039650936	0.001789786	1273.9296																						
13.290527	0.039787509	0.001778671	1278.3174																						
13.320557	0.039953414	0.001788503	1282.1611																						
13.350586	0.039968904	0.001805207	1283.71																						
13.380615	0.040050097	0.001812913	1285.0769																						
13.410645	0.040254723	0.001821694	1287.1594																						
13.440674	0.040289689	0.001872611	1288.1483																						
13.470703	0.040349763	0.001868486	1289.3632																						
13.500732	0.040425561	0.001886461	1294.8096																						
13.530762	0.040512621	0.00188579	1298.3362																						
13.560791	0.040612116	0.001891722	1298.3495																						
13.59082	0.040714666	0.001904639	1300.1425																						
13.62085	0.040755261	0.001926432	1301.983																						
13.650879	0.040778965	0.001931529	1304.2765																						
13.680908	0.04098805	0.001946873	1307.8256																						
13.710938	0.041076753	0.001956601	1310.8496																						
13.740967	0.041088719	0.001962886	1312.5253																						
13.770996	0.041214265	0.002009717	1316.8789																						
13.801025	0.041404109	0.002011037	1317.6462																						
13.831055	0.041370083	0.002025351	1318.7296																						
13.861084	0.041482251	0.002033311	1321.0559																						
13.891113	0.041624926	0.002041061	1326.5037																						
13.921143	0.041668575	0.00205761	1326.0438																						
13.951172	0.041825566	0.002066982	1329.3491																						
13.981201	0.041852318	0.002090931	1332.1639																						
14.01123	0.04193398	0.002087675	1333.7925																						
14.04126	0.042030662	0.002115862	1335.6973																						
14.071289	0.042133912	0.002136644	1336.5532																						
14.101318	0.042180378	0.002127588	1341.4509																						
14.131348	0.04234558	0.002172521	1341.5664																						
14.161377	0.042393219	0.0021852	1342.5581																						
14.191406	0.042392984	0.002222283	1349.5137																						
14.221436	0.042664722	0.002230181	1350.9655																						
14.251465	0.042660266	0.002232446	1350.3928																						
14.281494	0.042800829	0.002261019	1353.0144																						
14.311523	0.042795666	0.002258971	1356.804																						
14.341553	0.042856209	0.002282016	1355.6823																						
14.371582	0.04310824	0.00231305	1362.2592																						
14.401611	0.043151181	0.002307745	1364.3988																						
14.431641	0.043217123	0.00233626	1367.1803																						
14.46167	0.043224398	0.002355657	1365.1592																						
14.491699	0.043414004	0.0023807	1368.6763																						
14.521729	0.043479241	0.002388396	1369.7059																						
14.551758	0.043602441	0.002410582	1371.9662																						
14.581787	0.043698184	0.002443436	1374.9513																						
14.611816	0.043723997	0.002431845	1376.366																						
14.641846	0.043826777	0.002470307	1380.5277																						
14.671875	0.043870896	0.002465085	1379.4833																						
14.701904	0.044021316	0.002509265	1381.0825																						
14.731934	0.04415179	0.002518065	1385.0491																						
14.761963	0.044183232	0.002525321	1388.813																						
14.791992	0.044324033	0.002559796	1390.1394																						
14.822021	0.044347499	0.002585205	1393.1426																						
14.852051	0.04436674	0.002605901	1394.9539																						
14.88208	0.044625811	0.002630796	1396.6904																						
14.912109	0.04461173	0.002639739	1395.4874																						
14.942139	0.044718735	0.002679747	1396.4868																						
14.972168	0.044906233	0.002691737	1397.7734																						
15.002197	0.044894502	0.002717951	1401.8871																						
15.032227	0.044971704	0.00273326	1406.4219																						
15.062256	0.045080353	0.002740842	1407.8607																						
15.092285	0.045181025	0.002779115	1407.0947																						
15.122314	0.045325812	0.002803721	1409.5557																						
15.152344	0.045376029	0.002841248	1412.4229																						
15.182373	0.045503922	0.00287302	1414.8374																						
15.212402	0.045572445	0.002882986	1417.6212																						
15.242432	0.045535367	0.002906096	1418.8773																						
15.272461	0.045692828	0.00292119	1419.0679																						
15.30249	0.045791853	0.00293405	1418.9691																						
15.33252	0.04593594	0.002966338	1422.9673																						
15.362549	0.045938991	0.003012613	1425.5638																						
15.392578	0.046084717	0.003032694	1425.4454																						
15.422607	0.046285354	0.003055546	1429.0874																						
15.452637	0.046320319	0.003075486	1428.8326																						
15.482666	0.046333458	0.003122386	1430.9551																						
15.512695	0.046430845	0.003155608	1434.8997																						
15.542725	0.046602853	0.00316924	1435.4833																						
15.572754	0.04671995	0.003199994	1434.3306																						
15.602783	0.046741541	0.003245354	1440.8136																						
15.632813	0.046765242	0.003257611	1441.3169																						
15.662842	0.046981368	0.003295452	1440.9346																						
15.692871	0.047048245	0.003314891	1443.6509																						
15.7229	0.047101516	0.003326395	1442.9545																						
15.75293	0.047152672	0.003393666	1446.5179																						
15.782959	0.04723715	0.003390289	1445.6755																						
15.812988	0.04735988	0.003441701	1448.5275																						
15.843018	0.047452807	0.003477421	1452.5757																						
15.873047	0.047479089	0.003511212	1451.4525																						
15.903076	0.047567088	0.003546731	1455.4158																						
15.933105	0.047672451	0.003557863	1450.5421																						
15.963135	0.047777582	0.003599217	1455.4857																						
15.993164	0.047911339	0.003616509	1455.3982																						
16.023193	0.047965314	0.003655839	1457.7753																						
16.053223	0.048022337	0.003665359	1459.2324																						
16.083252	0.048237991	0.003731311	1460.6816																						
