MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A																									
																									
Data Acquisition			"110811 X-Prize Challenge 3A, 304L transverse tensile test, Wo=0.2495"", Thicko=0.124"""			Time:	150.17358	Sec	11/9/2011 15:22																
Time	Axial Displacement	Axial Strain	Axial Force																						
Sec	in	in/in	lbf																						
9.9853516	0.029458774	0.001189525	1048.4707																						
10.015381	0.02945408	0.001197857	1055.0441																						
10.04541	0.029565077	0.001210744	1055.1084																						
10.075439	0.029741779	0.001222061	1058.8167																						
10.105469	0.029725587	0.001191528	1060.4264																						
10.135498	0.029890791	0.001242899	1063.2684																						
10.165527	0.029966118	0.001222248	1065.2018																						
10.195557	0.03002009	0.001227659	1066.8677																						
10.225586	0.030128036	0.001232246	1071.3103																						
10.255615	0.030254755	0.001250484	1070.8154																						
10.285645	0.03031436	0.001235961	1078.8135																						
10.315674	0.030408693	0.001261378	1079.64																						
10.345703	0.030606985	0.001290747	1081.0519																						
10.375732	0.030563103	0.001279622	1082.9769																						
10.405762	0.030659314	0.001260086	1084.802																						
10.435791	0.030797062	0.001281461	1090.5292																						
10.46582	0.030912517	0.001290303	1090.754																						
10.49585	0.030988783	0.001299178	1094.2499																						
10.525879	0.031027269	0.001316337	1098.5178																						
10.555908	0.031080771	0.001327962	1100.8057																						
10.585938	0.031207725	0.001302965	1100.8174																						
10.615967	0.031397332	0.001330488	1101.5892																						
10.645996	0.031412352	0.001342568	1106.7789																						
10.676025	0.03151584	0.001330713	1109.9841																						
10.706055	0.031531092	0.001348077	1112.5787																						
10.736084	0.031661566	0.001329005	1116.1595																						
10.766113	0.031802364	0.001362542	1117.7428																						
10.796143	0.03179016	0.001376672	1119.0546																						
10.826172	0.031837329	0.001386884	1120.9977																						
10.856201	0.032078329	0.001384929	1125.556																						
10.88623	0.032101091	0.001417612	1127.9518																						
10.91626	0.03218158	0.001399918	1130.3721																						
10.946289	0.032353118	0.001429303	1133.1145																						
10.976318	0.032312289	0.001424976	1137.7563																						
11.006348	0.032409206	0.001442693	1136.5101																						
11.036377	0.032559857	0.001467982	1139.9094																						
11.066406	0.03269127	0.001439628	1144.4121																						
11.096436	0.032784902	0.001427299	1148.9177																						
11.126465	0.032933444	0.001465788	1152.5262																						
11.156494	0.032953624	0.001485825	1152.9087																						
11.186523	0.033059929	0.001449608	1156.7643																						
11.216553	0.033040918	0.001496611	1154.9202																						
11.246582	0.033240151	0.001510052	1162.5829																						
11.276611	0.033359125	0.001499334	1162.1108																						
11.306641	0.033445012	0.001511517	1168.1721																						
11.33667	0.033425767	0.001523885	1168.0626																						
11.366699	0.033642597	0.001524938	1170.6664																						
11.396729	0.033637669	0.001530661	1172.354																						
11.426758	0.033728719	0.001552118	1174.5969																						
11.456787	0.033908002	0.001554537	1177.546																						
11.486816	0.033941794	0.001563859	1179.871																						
11.516846	0.034054667	0.001577196	1185.5189																						
11.546875	0.034066167	0.001597219	1187.7294																						
11.576904	0.03422574	0.001600142	1188.2025																						
11.606934	0.03432852	0.00158036	1191.0375																						
11.636963	0.034335561	0.001604497	1192.1392																						
11.666992	0.034497712	0.00163162	1196.516																						
11.697021	0.034699291	0.001630199	1198.2184																						
11.727051	0.034663856	0.001636412	1203.1927																						
11.75708	0.034750447	0.001653204	1204.8915																						
11.787109	0.034831639	0.001661361	1206.1726																						
11.817139	0.03490204	0.001659509	1210.214																						
11.847168	0.034970328	0.001682335	1210.5255																						
11.877197	0.035090007	0.001704495	1212.3315																						
11.907227	0.035224937	0.001710816	1217.1096																						
11.937256	0.035329834	0.001711984	1218.856																						
11.967285	0.03527398	0.001729594	1222.5284																						
11.997314	0.035458896	0.001722238	1224.2305																						
12.027344	0.035570595	0.001740172	1224.3594																						
12.057373	0.035628561	0.001764124	1227.1371																						
12.087402	0.035753399	0.001782005	1234.307																						
12.117432	0.035784375	0.001783889	1233.5255																						
12.147461	0.035956152	0.001778417	1234.7653																						
12.17749	0.036066912	0.001778258	1239.922																						
12.20752	0.036145993	0.001798382	1242.9283																						
12.237549	0.036099296	0.00182561	1240.8643																						
12.267578	0.036285851	0.001814793	1246.4436																						
12.297607	0.036394972	0.001862155	1249.5896																						
12.327637	0.036465839	0.001843802	1251.7426																						
12.357666	0.036576603	0.001867029	1253.506																						
12.387695	0.036642306	0.001881164	1256.3992																						
12.417725	0.036720686	0.001896524	1257.8262																						
12.447754	0.036763627	0.001878773	1259.7069																						
12.477783	0.036937986	0.001909088	1261.9302																						
12.507813	0.036976233	0.001906722	1264.1072																						
12.537842	0.037063293	0.001937433	1271.1251																						
12.567871	0.037130877	0.001949723	1269.877																						
12.5979	0.037304528	0.001983559	1270.8829																						
12.62793	0.037350055	0.001989071	1275.8546																						
12.657959	0.037438288	0.001977017	1277.1832																						
12.687988	0.037570871	0.001995516	1276.6843																						
12.718018	0.037603725	0.001994843	1281.2621																						
12.748047	0.037703693	0.00202454	1283.1694																						
12.778076	0.037808821	0.002011568	1286.7875																						
12.808105	0.037819851	0.002053948	1289.4839																						
12.838135	0.038023539	0.002088519	1292.1904																						
12.868164	0.038071882	0.002098076	1292.0239																						
12.898193	0.03816504	0.002107258	1294.684																						
12.928223	0.038225818	0.002114098	1296.8102																						
12.958252	0.038263366	0.002137959	1299.4645																						
12.988281	0.038438894	0.002143308	1303.2761																						
13.018311	0.038550124	0.002157107	1302.2115																						
13.04834	0.038624749	0.002172427	1307.5254																						
13.078369	0.03874654	0.002184321	1307.3969																						
13.108398	0.038735978	0.002177598	1309.4883																						
13.138428	0.038914558	0.002212762	1312.5422																						
13.168457	0.038972754	0.002219429	1312.7181																						
13.198486	0.038991295	0.002268536	1316.859																						
13.228516	0.03915767	0.002269975	1321.0681																						
13.258545	0.039164007	0.002272873	1318.9794																						
13.288574	0.039359715	0.002328259	1324.4192																						
13.318604	0.039398905	0.002330965	1324.946																						
13.348633	0.03951389	0.002342633	1328.2499																						
13.378662	0.039605409	0.002339664	1329.3003																						
13.408691	0.039728608	0.00236388	1331.0568																						
13.438721	0.039775539	0.002385124	1336.3396																						
13.46875	0.039940745	0.002418188	1334.9382																						
13.498779	0.039998706	0.002442738	1339.868																						
13.528809	0.040041883	0.002471071	1343.2261																						
13.558838	0.040230554	0.002477979	1342.4038																						
13.588867	0.040217649	0.002499679	1344.6909																						
13.618896	0.04032442	0.002525993	1346.0698																						
13.648926	0.04050605	0.002560702	1349.9391																						
13.678955	0.040424153	0.00256525	1349.5354																						
13.708984	0.040623851	0.002573233	1349.3457																						
13.739014	0.040681578	0.002605267	1354.0118																						
13.769043	0.040789992	0.00260192	1354.6174																						
13.799072	0.040849362	0.002651766	1356.2804																						
13.829102	0.041002128	0.002666755	1360.4872																						
13.859131	0.041000955	0.002689073	1361.9882																						
13.88916	0.041144334	0.002696926	1361.9752																						
13.919189	0.041196667	0.002730829	1362.3221																						
13.949219	0.041318927	0.00275237	1366.3759																						
13.979248	0.041329954	0.002773025	1364.7035																						
14.009277	0.041457612	0.002802568	1371.0237																						
14.039307	0.041544907	0.002807371	1370.859																						
14.069336	0.041765023	0.002852832	1372.6384																						
14.099365	0.04177957	0.002891823	1375.0313																						
14.129395	0.041809373	0.002910694	1376.8257																						
14.159424	0.041983727	0.002908012	1377.422																						
14.189453	0.042044271	0.0029453	1380.3184																						
14.219482	0.042079706	0.002973137	1381.0006																						
14.249512	0.042168174	0.00299266	1383.4426																						
14.279541	0.042315308	0.003031435	1385.8778																						
14.30957	0.042361069	0.003051319	1387.686																						
14.3396	0.042466197	0.003084564	1386.6213																						
14.369629	0.0425427	0.003121517	1392.2745																						
14.399658	0.042603239	0.003161137	1391.4781																						
14.429688	0.042827815	0.00317564	1394.3345																						
14.459717	0.042797543	0.003213031	1395.7124																						
14.489746	0.042907365	0.003233843	1397.5782																						
14.519775	0.043003812	0.003262571	1399.0049																						
14.549805	0.043150242	0.003290286	1395.7797																						
14.579834	0.043174177	0.003331479	1398.1863																						
14.609863	0.043252792	0.003341906	1399.4043																						
14.639893	0.043465633	0.003393093	1403.4648																						
14.669922	0.043483935	0.003422356	1404.0143																						
14.699951	0.043536734	0.003441538	1406.8833																						
14.72998	0.043709211	0.003491071	1408.4426																						
14.76001	0.043771632	0.003531408	1408.9104																						
14.790039	0.043794397	0.003556774	1409.2399																						
14.820068	0.04396664	0.003600289	1411.6567																						
14.850098	0.043998085	0.003623288	1412.3424																						
14.880127	0.044090308	0.003641543	1414.0471																						
14.910156	0.044180419	0.00369659	1415.6234																						
14.940186	0.044311125	0.003694486	1414.0223																						
14.970215	0.044328492	0.003765218	1417.3212																						
15.000244	0.044447936	0.003807067	1419.4299																						
15.030273	0.04457254	0.003824149	1418.8589																						
15.060303	0.044630032	0.003847204	1422.2039																						
15.090332	0.044780452	0.003873524	1425.0881																						
15.120361	0.044835836	0.003935929	1424.5745																						
15.150391	0.044972643	0.003972917	1427.2186																						
15.18042	0.04497898	0.004001975	1425.1437																						
15.210449	0.045094669	0.004025193	1425.3374																						
15.240479	0.045185719	0.00407426	1427.9069																						
15.270508	0.045289673	0.004118001	1431.1211																						
15.300537	0.045275595	0.004156538	1429.3455																						
15.330566	0.045430709	0.004194856	1431.1667																						
